Country,Year,Indicator_Type,Mortality_Rate
Burundi,2003.5,Neonatal mortality rate,32.83915
Burundi,2008.5,Neonatal mortality rate,28.46557
Burundi,2013.5,Neonatal mortality rate,23.70623
Burundi,2002.5,Neonatal mortality rate,46.55
Burundi,2007.5,Neonatal mortality rate,30.76
Burundi,2000.5,Neonatal mortality rate,36.56171218
Burundi,2001.5,Neonatal mortality rate,35.99725854
Burundi,2002.5,Neonatal mortality rate,35.38910255
Burundi,2003.5,Neonatal mortality rate,34.65501928
Burundi,2004.5,Neonatal mortality rate,33.9055273
Burundi,2005.5,Neonatal mortality rate,33.03291669
Burundi,2006.5,Neonatal mortality rate,32.10774993
Burundi,2007.5,Neonatal mortality rate,31.0828979
Burundi,2008.5,Neonatal mortality rate,30.07563272
Burundi,2009.5,Neonatal mortality rate,29.08076273
Burundi,2010.5,Neonatal mortality rate,28.04370735
Burundi,2011.5,Neonatal mortality rate,27.09003288
Burundi,2012.5,Neonatal mortality rate,26.14070636
Burundi,2013.5,Neonatal mortality rate,25.25321986
Burundi,2014.5,Neonatal mortality rate,24.40509334
Burundi,2015.5,Neonatal mortality rate,23.66572294
Burundi,2016.5,Neonatal mortality rate,23.00023649
Burundi,2017.5,Neonatal mortality rate,22.41440708
Burundi,2018.5,Neonatal mortality rate,21.85606851
Burundi,2019.5,Neonatal mortality rate,21.39916074
Burundi,2020.5,Neonatal mortality rate,20.92955431
Burundi,2021.5,Neonatal mortality rate,20.48286313
Burundi,2022.5,Neonatal mortality rate,20.05814419
Burundi,2003.5,Under-five mortality rate,123.4754
Burundi,2008.5,Under-five mortality rate,83.88303
Burundi,2013.5,Under-five mortality rate,74.19303
Burundi,2001.6,Under-five mortality rate,113.6663
Burundi,2003.9,Under-five mortality rate,154.3386
Burundi,2005.1,Under-five mortality rate,154.6274
Burundi,2006,Under-five mortality rate,111.6999
Burundi,2007,Under-five mortality rate,95.22254
Burundi,2008.3,Under-five mortality rate,78.1549
Burundi,2011.5,Under-five mortality rate,83
Burundi,2002.5,Under-five mortality rate,166.68
Burundi,2007.5,Under-five mortality rate,93.53
Burundi,2001.5,Under-five mortality rate,135.7
Burundi,2003.9,Under-five mortality rate,155.7805
Burundi,2000.5,Under-five mortality rate,145.6884463
Burundi,2001.5,Under-five mortality rate,140.5058736
